Name,Year,Duration,Genre,Votes,Director,Actor 1,Actor 2,Actor 3,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,Revenue_Millions,Rating
Maryada,1971,154,"Family, Romance",61,Aravind Sen,Rajesh Khanna,Raaj Kumar,Mala Sinha,,,,,,,,,,7.1
Masaan,2015,109,Drama,24900,Neeraj Ghaywan,Richa Chadha,Sanjay Mishra,Vicky Kaushal,,,,,,,,,,8.2
Masala Chai,2017,80,Documentary,27,Marco H�lser,Mohammad Chacha,Gouri Mahato,Subodh Pramod,,,,,,,,,,8.2
Masala Republic,2014,135,"Comedy, Thriller",105,Visakh G S,Indrajith Sukumaran,Soubin Shahir,Vinay Forrt,,,,,,,,,,5.2
Maseeha,2002,117,"Action, Crime, Drama",74,Partho Ghosh,Sunil Shetty,Namrata Shirodkar,Inder Kumar,,,,,,,,,,4.1
Mashaal,1950,136,Drama,5,Nitin Bose,Ashok Kumar,Sumitra Devi,Ruma Guha Thakurta,,,,,,,,,,6.2
Mashaal,1984,162,"Action, Drama, Family",655,Yash Chopra,Anil Kapoor,Dilip Kumar,Waheeda Rehman,,,,,,,,,,7.3
Mashooka,2005,107,"Drama, Musical, Romance",30,Afzal Ahmad,Aditya Bal,Meghna Naidu,Vidya Malvade,,,,,,,,,,5.3
Maska,2020,111,"Comedy, Drama, Romance",1317,Neeraj Udhwani,Prit Kamani,Manisha Koirala,Shirley Setia,,,,,,,,,,5.8
Maska,2009,156,"Action, Comedy, Drama",284,Gopal B.,Ram Pothineni,Hansika Motwani,Sheela Kaur,,,,,,,,,,5.2
Masoom,1983,165,Drama,3771,Shekhar Kapur,Naseeruddin Shah,Shabana Azmi,Jugal Hansraj,,,,,,,,,,8.4
Masoom,1996,130,"Action, Comedy, Thriller",95,Mahesh Kothare,Tinnu Anand,Sulabha Arya,Arun Bakshi,,,,,,,,,,5.8
Massey Sahib,1986,118,Drama,105,Pradip Krishen,Raghuvir Yadav,Barry John,Arundhati Roy,,,,,,,,,,7.2
Mast,1999,153,"Comedy, Musical, Romance",903,Ram Gopal Varma,Aftab Shivdasani,Urmila Matondkar,Dalip Tahil,,,,,,,,,,5.4
Mast Kalandar,1991,143,"Action, Drama, Thriller",44,Rahul Rawail,Dharmendra,Dimple Kapadia,Shammi Kapoor,,,,,,,,,,5.2
Mastana,1970,151,"Drama, Comedy, Family",51,Adurthi Subba Rao,Mehmood,Padmini,Bharathi,,,,,,,,,,6.8
Master,2001,152,Action,24,Suneil Anand,Suneil Anand,Ting Leung,Sadashiv Amrapurkar,,,,,,,,,,4.8
Masterji,1985,178,"Comedy, Drama, Romance",95,K. Raghavendra Rao,Rajesh Khanna,Sridevi,Anita Raj,,,,,,,,,,6.5
Masti,2004,166,"Comedy, Crime, Mystery",6068,Indra Kumar,Aftab Shivdasani,Vivek Oberoi,Riteish Deshmukh,,,,,,,,,,6.2
Masti Express,2011,103,"Adventure, Comedy, Drama",91,Vikram Pradhan,Rajpal Yadav,Johnny Lever,Divya Dutta,,,,,,,,,,5.1
MASTI NAHI SASTI,2017,96,Comedy,6,Prem Chopra,Jagdeep,Shakti Kapoor,Kader Khan,,,,,,,,,,3.3
Mastizaade,2016,119,Comedy,2622,Milap Zaveri,Tusshar Kapoor,Vir Das,Sunny Leone,,,,,,,,,,2.4
Mastram,2013,98,"Biography, Drama",514,Akhilesh Jaiswal,Dhwani Gautam,Rahul Bagga,Tara-Alisha Berry,,,,,,,,,,4.8
Mati Manas,1985,92,"Documentary, Drama",42,Mani Kaul,Robin Das,Anita Kanwar,Ashok Sharma,,,,,,,,,,7.7
Matru ki Bijlee ka Mandola,2013,151,"Comedy, Drama",6035,Vishal Bhardwaj,Pankaj Kapur,Imran Khan,Anushka Sharma,,,,,,,,,,5.6
Matrubhoomi: A Nation Without Women,2003,99,Drama,2042,Manish Jha,Tulip Joshi,Sudhir Pandey,Sushant Singh,,,,,,,,,,7.7
Mausam,1975,156,"Musical, Romance",868,Gulzar,Sanjeev Kumar,Sharmila Tagore,Om Shivpuri,,,,,,,,,,8.1
Mausam,2011,161,"Drama, Romance, War",5258,Pankaj Kapur,Shahid Kapoor,Sonam Kapoor,Anupam Kher,,,,,,,,,,4.7
Mausam Ikrar Ke Do Pal Pyar Ke,2018,130,Drama,10,Partho Ghosh,Mukesh J Bharti,Madalsa Sharma,Manju Bharti,,,,,,,,,,2.8
Maut,1998,120,Horror,25,Jeetu,Sapna Sappu,Raj Premi,Shabbir,,,,,,,,,,4.3
Maut Ke Peeche Maut,2003,95,Horror,6,Kishan Shah,Hemant Birje,Brij Gopal,K.K. Goswami,,,,,,,,,,4.2
Mawaali,1983,150,"Action, Drama",76,K. Bapaiah,Jeetendra,Sridevi,Jaya Prada,,,,,,,,,,5.4
Mawali No.1,2002,115,Action,8,Leela Prasad,Sadashiv Amrapurkar,Mithun Chakraborty,Indraja,,,,,,,,,,3.5
Maximum,2012,110,"Action, Crime, Drama",202,Kabeer Kaushik,Sonu Sood,Naseeruddin Shah,Neha Dhupia,,,,,,,,,,4.7
Maya,2001,105,Drama,278,Digvijay Singh,Anant Nag,Mita Vashisht,Nitya Shetty,,,,,,,,,,7
Maya,1993,130,"Drama, Mystery, Romance",2081,Ketan Mehta,Deepa Sahi,Farooq Shaikh,Raj Babbar,,,,,,,,,,5.4
Maya Bazaar,1958,150,"Adventure, Fantasy",21,Babubhai Mistry,Mahipal,Anita Guha,Raj Kumar,,,,,,,,,,6.5
Maya Darpan,1972,107,Drama,69,Kumar Shahani,Aditi,Iqbalnath Kaul,Anil Pandya,,,,,,,,,,6.9
Mayurpankh,1954,106,"Adventure, Drama, Musical",16,Kishore Sahu,Kishore Sahu,Sumitra Devi,Odette Ferguson,,,,,,,,,,5.9
Mazaa Mazaa,2005,99,Romance,58,T.L.V. Prasad,Farid Amiri,Mridula Baruah,Pankaj Berry,,,,,,,,,,2.7
Mazaaq,1975,103,Comedy,17,Haidar Ali,Vinod Mehra,Moushumi Chatterjee,Aruna Irani,,,,,,,,,,6.7
Mazdoor,1934,155,Drama,6,Mohan Dayaram Bhavnani,Bibbo,S.B. Nayampalli,Paidi Jairaj,,,,,,,,,,8.5
Mazdoor,1983,170,"Drama, Romance",99,Ravi Chopra,Dilip Kumar,Nanda,Raj Babbar,,,,,,,,,,6.5
Mazdoor Zindabaad,1976,124,Drama,14,Naresh Kumar,Randhir Kapoor,Parveen Babi,Manmohan Krishna,,,,,,,,,,5.7
Me and Mrs. Khanna,2009,109,"Comedy, Drama, Romance",2925,Prem Soni,Salman Khan,Kareena Kapoor,Sohail Khan,,,,,,,,,,3.6
Medal,2018,96,Drama,7,Ganesh Mehta,Muzahid Khan,Indrisha Basu,Tanushri Basak,,,,,,,,,,7.9
Mee Raqsam,2020,80,Drama,384,Baba Azmi,Juhaina Ahsan,Shivangi Gautam,Danish Husain,,,,,,,,,,6.7
Mee Sindhutai Sapkal,2010,110,"Biography, Drama",126,Ananth Narayan Mahadevan,Jyoti Chandekar,Ameya Hunaswadkar,Neena Kulkarni,,,,,,,,,,6.9
Meenakshi,1942,155,Drama,12,Modhu Bose,Sadhona Bose,Ahindra Choudhury,Rajlakshmi Devi,,,,,,,,,,7.2
Meendum Kokila,1981,139,"Comedy, Drama, Romance",115,G.N. Rangarajan,Kamal Haasan,Sridevi,Unni Mary,,,,,,,,,,6.2
Meera,1979,155,"Drama, History",109,Gulzar,Hema Malini,Vinod Khanna,Shammi Kapoor,,,,,,,,,,6.6
Meera Ka Mohan,1992,152,Romance,14,K. Ravi Shankar,Avinash Wadhawan,Ashwini Bhave,Pran,,,,,,,,,,5.5
Meeruthiya Gangsters,2015,129,"Comedy, Crime",623,Zeishan Quadri,Jaideep Ahlawat,Aakash Dahiya,Jatin Sarna,,,,,,,,,,7.2
Meet Mere Man Ke,1991,150,"Action, Drama",13,Mehul Kumar,Feroz Khan,Salma Agha,Prasenjit Chatterjee,,,,,,,,,,5.3
Megalopolis,2018,79,Mystery,18,Rohit Mittal,Kuldeep Patil,Naina Sareen,Arjun Radhakrishnan,,,,,,,,,,6.6
Meharbaani,1982,140,Drama,22,Ajit Singh Deol,A. Nairang,Mahendra Sandhu,Sarika,,,,,,,,,,6.1
Mehboob Ki Mehndi,1971,151,"Drama, Musical, Romance",119,Harnam Singh Rawail,Rajesh Khanna,Leena Chandavarkar,Pradeep Kumar,,,,,,,,,,6.7
Mehbooba,1976,134,"Drama, Romance",144,Shakti Samanta,Rajesh Khanna,Hema Malini,Prem Chopra,,,,,,,,,,6.5
Mehbooba,2008,163,"Drama, Romance",351,Tabrez Hashmi,Afzal Khan,Sanjay Dutt,Manisha Koirala,,,,,,,,,,3.5
Mehndi,1998,153,Drama,299,Hamid Ali Khan,Faraaz Khan,Rani Mukerji,Ushma Rathod,,,,,,,,,,3.4
Mehndi Lagi Mere Haath,1962,128,"Comedy, Drama, Romance",23,Suraj Prakash,Ashok Kumar,Nanda,Shashi Kapoor,,,,,,,,,,5.9
Mehrban,1967,162,Drama,47,A. Bhimsingh,Ashok Kumar,Sulochana Latkar,Sunil Dutt,,,,,,,,,,7.2
Mehsampur,2018,99,Drama,41,Kabir Singh Chowdhry,Chamkara,Chamak Chamkila,Lal Chand,,,,,,,,,,6.6
Mela,1948,152,"Family, Romance, Drama",98,S.U. Sunny,Nargis,Dilip Kumar,Jeevan,,,,,,,,,,7.5
Mela,1971,126,"Drama, Family",44,Prakash Mehra,Sanjay Khan,Feroz Khan,Mumtaz,,,,,,,,,,6.8
Mela,2000,172,"Action, Adventure, Comedy",4247,Dharmesh Darshan,Aamir Khan,Twinkle Khanna,Faisal Khan,,,,,,,,,,3.8
Melody,1997,148,"Drama, Musical",123,Sai Paranjape,Shabana Azmi,Aruna Irani,Zakir Hussain,,,,,,,,,,6.4
Mem Sahib,1956,113,"Comedy, Drama, Romance",36,R.C. Talwar,Meena Kumari,Shammi Kapoor,Pratima Devi,,,,,,,,,,7.2
Mem-Didi,1961,137,"Comedy, Drama",31,Hrishikesh Mukherjee,Lalita Pawar,David Abraham,Tanuja,,,,,,,,,,7.4
Memories,1964,113,"Drama, Mystery",97,Sunil Dutt,Sanjay Dutt,Sunil Dutt,Nargis,,,,,,,,,,7.6
Memories in March,2010,104,Drama,442,Sanjoy Nag,Deepti Naval,Raima Sen,Rituparno Ghosh,,,,,,,,,,7.2
Memsaab,1971,138,Thriller,17,Atma Ram,Yogeeta Bali,Vinod Khanna,Johnny Walker,,,,,,,,,,6.1
Men Not Allowed,2006,115,"Drama, Romance",38,Shrey Srivastava,Payal Rohatgi,Tina Mazumdar,Nassar Abdulla,,,,,,,,,,3.6
Mera Damad,1995,127,"Comedy, Drama",794,Partho Ghosh,Utpal Dutt,Ashok Kumar,Farooq Shaikh,,,,,,,,,,4.4
Mera Desh Mera Dharam,1973,120,Drama,11,Dara Singh,Dara Singh,Ratan Aulakh,Mumtaz Begum,,,,,,,,,,5.6
Mera Dil Tere Liye,1992,155,Romance,8,S.A. Chandrashekhar,Gopi Bhalla,Dinesh,Aruna Irani,,,,,,,,,,4.8
Mera Gaon Mera Desh,1971,151,"Action, Drama",302,Raj Khosla,Asha Parekh,Dharmendra,Vinod Khanna,,,,,,,,,,7
Mera Haque,1986,135,Action,36,Ajay Kashyap,Sanjay Dutt,Anita Raj,Gulshan Grover,,,,,,,,,,4.7
Mera Naam Johar,1968,160,"Comedy, Drama",11,Sarankant,I.S. Johar,Sonia Sahni,Tiwari,,,,,,,,,,5.8
Mera Naam Joker,1970,224,"Comedy, Drama",4684,Raj Kapoor,Raj Kapoor,Manoj Kumar,Simi Garewal,,,,,,,,,,8
Mera Naseeb,1989,150,Drama,7,S. Karnam,Rohan Kapoor,Anuradha Patel,Sahil Vaid,,,,,,,,,,4.1
Mera Pati Sirf Mera Hai,1990,142,"Drama, Family",37,Manobala,Jeetendra,Rekha,Radhika Sarathkumar,,,,,,,,,,3.8
Mera Rakshak,1978,157,"Action, Crime, Drama",19,R. Thyagaraajan,Mithun Chakraborty,Abhi Bhattacharya,Shreeram Lagoo,,,,,,,,,,4.6
Mera Ramrajya Nai Kranti,2020,162,Drama,16,Shyam Bharteey,Shyam Bharteey,Ashwin Krishna Gaur,Aman Gupta,,,,,,,,,,8.8
Mera Saathi,1985,140,Drama,14,K. Raghavendra Rao,Jeetendra,Jaya Prada,Rajiv Kapoor,,,,,,,,,,4.9
Mera Saaya,1966,128,"Drama, Musical, Mystery",864,Raj Khosla,Sunil Dutt,Sadhana,Jagdish Sethi,,,,,,,,,,7.6
Mera Shikar,1988,141,Action,7,Keshu Ramsay,Dimple Kapadia,Kabir Bedi,Danny Denzongpa,,,,,,,,,,3.9
Meraa Dost Meraa Dushman,1984,129,Action,12,Raj Khosla,Shatrughan Sinha,Smita Patil,Geeta Behl,,,,,,,,,,5.2
Meraa Ghar Mere Bachche,1985,150,"Drama, Family",20,Chander Vohra,Raj Babbar,Smita Patil,Meenakshi Sheshadri,,,,,,,,,,4.7
Mere Aagosh Mein,2000,142,Thriller,11,B. Prasad,Rana Jung Bahadur,Kirti,Kirti Shetty,,,,,,,,,,5.5
Mere Apne,1971,164,Drama,536,Gulzar,Meena Kumari,Vinod Khanna,Shatrughan Sinha,,,,,,,,,,7.4
Mere Baad,1988,140,Drama,30,Vishwamitra,Maya Alagh,Beena Banerjee,Anil Dhawan,,,,,,,,,,6.6
Mere Baap Pehle Aap,2008,163,"Comedy, Drama, Romance",2058,Priyadarshan,Akshaye Khanna,Paresh Rawal,Genelia D'Souza,,,,,,,,,,5.4
Mere Bhaiya,1972,138,"Drama, Family",13,Satyen Bose,Vijay Arora,Nazima,Suresh Chatwal,,,,,,,,,,5.6
Mere Brother Ki Dulhan,2011,139,"Comedy, Drama, Family",8946,Ali Abbas Zafar,Imran Khan,Katrina Kaif,Ali Zafar,,,,,,,,,,5.8
Mere Dad Ki Maruti,2013,101,"Comedy, Drama, Romance",4535,Ashima Chibber,Saqib Saleem,Rhea Chakraborty,Ram Kapoor,,,,,,,,,,6.4
Mere Do Anmol Ratan,1998,161,Drama,45,K. Ravi Shankar,Arshad Warsi,Namrata Shirodkar,Mukul Dev,,,,,,,,,,5
Mere Dost Picture Abhi Baaki Hai,2012,180,Comedy,191,Rajnish Thakur,Sunil Shetty,Udita Goswami,Rajpal Yadav,,,,,,,,,,3.5
Mere Haule Dost,2013,112,"Comedy, Drama",26,Nitin Raghunath,Aadil Abedi,Catherine Fallows,Kiran Gadalay,,,,,,,,,,6.7
Mere Humsafar,1970,153,"Drama, Romance",53,Dulal Guha,Sharmila Tagore,Jeetendra,Balraj Sahni,,,,,,,,,,7
Mere Huzoor,1968,165,"Drama, Romance",59,Vinod Kumar,Mala Sinha,Raaj Kumar,Jeetendra,,,,,,,,,,6.4
Mere Jeevan Saathi,1972,142,"Drama, Adventure, Action",168,Ravikant Nagaich,Rajesh Khanna,Tanuja,Sujit Kumar,,,,,,,,,,6.9
Mere Jeevan Saathi,2006,129,"Drama, Music, Romance",902,Suneel Darshan,Akshay Kumar,Karisma Kapoor,Ameesha Patel,,,,,,,,,,3.5
Mere Khwabon Mein Jo Aaye,2009,119,"Drama, Fantasy, Musical",93,Madhureeta Anand,Randeep Hooda,Raima Sen,Arbaaz Khan,,,,,,,,,,5.6
Mere Mehboob,1963,164,"Comedy, Drama, Romance",196,Harnam Singh Rawail,Ashok Kumar,Rajendra Kumar,Sadhana,,,,,,,,,,6.9
Mere Paas Baap Hai,2018,108,Comedy,31,Faisal Simon,Mohit Das,Afsheen Jamal,Shadab Khan,,,,,,,,,,6.1
Mere Sajana Saath Nibhana,1992,141,"Drama, Musical",55,Rajesh Vakil,Mithun Chakraborty,Juhi Chawla,Shanti Priya,,,,,,,,,,6.3
Mere Sanam,1965,167,"Musical, Romance",53,Amar Kumar,Asha Parekh,Biswajit Chatterjee,Pran,,,,,,,,,,7.3
Mere Yaar Ki Shaadi Hai,2002,158,"Comedy, Drama, Romance",2102,Sanjay Gadhvi,Uday Chopra,Jimmy Sheirgill,Bipasha Basu,,,,,,,,,,5.3
Meri Aawaz Suno,1981,153,"Action, Crime, Drama",56,S.V. Rajendra Singh Babu,Jeetendra,Hema Malini,Om Shivpuri,,,,,,,,,,6.6
Meri Adaalat,1984,131,"Action, Thriller",22,A.T. Raghu,Rajinikanth,Zeenat Aman,Sonia Sahni,,,,,,,,,,5.1
Meri Bhabhi,1969,148,"Drama, Family",18,Khalid Akhtar,Sunil Dutt,Waheeda Rehman,Kamini Kaushal,,,,,,,,,,5.1
Meri Biwi Ka Jawab Nahin,2004,150,"Action, Comedy, Romance",683,Pankaj Parashar,S.M. Iqbal,Akshay Kumar,Sridevi,,,,,,,,,,3.9
Meri Biwi Ki Shaadi,1979,117,"Comedy, Drama",93,Rajat Rakshit,Amol Palekar,Ranjeeta Kaur,Ashok Saraf,,,,,,,,,,6.5
Meri Ganga Ki Saugandh,2003,110,Action,7,Kanti Shah,Shakti Kapoor,Amit Pachori,Sapna Sappu,,,,,,,,,,5.6
Meri Jung,1985,164,"Action, Drama",1210,Subhash Ghai,Anil Kapoor,Girish Karnad,Nutan,,,,,,,,,,7.3
Meri Majboorii...,2006,102,"Action, Crime, Drama",8,Sandeep Bhatt,Tanveer Ahmad,Rakhi Bajaj,Seema Biswas,,,,,,,,,,3.2
Meri Nimmo,2018,90,Drama,283,Rahul Shanklya,Anjali Patil,Karan Dave,Aryan Mishra,,,,,,,,,,7.1
Meri Pyaari Bahania Banegi Dulhania,2001,131,Family,10,Jayant Gilatar,Sulabha Arya,Mithun Chakraborty,Shahid Khan,,,,,,,,,,5
Meri Pyaari Bindu,2017,117,"Comedy, Drama, Romance",4495,Akshay Roy,Ayushmann Khurrana,Parineeti Chopra,Aarnaa Sharma,,,,,,,,,,6
Meri Zabaan,1989,149,"Action, Crime, Drama",16,Shibu Mitra,Shashi Kapoor,Mithun Chakraborty,Vinod Mehra,,,,,,,,,,5.7
Michael,2011,97,"Drama, Thriller",149,Ribhu Dasgupta,Naseeruddin Shah,Mahie Gill,Sabyasachi Chakrabarty,,,,,,,,,,5.3
Mickey Virus,2013,135,"Comedy, Thriller",2639,Saurabh Varma,Kumar Neeraj,Manish Paul,Dean Alexandrou,,,,,,,,,,6
Midnight's Children,2012,146,Drama,3031,Deepa Mehta,Rajat Kapoor,Vansh Bhardwaj,Anupam Kher,,,,,,,,,,6.2
Milan,1967,170,"Drama, Musical, Romance",160,Adurthi Subba Rao,Sunil Dutt,Nutan,Jamuna,,,,,,,,,,6.8
Milan Talkies,2019,141,"Drama, Romance",321,Tigmanshu Dhulia,Ali Fazal,Sanjay Mishra,Ashutosh Rana,,,,,,,,,,5
Milap,1972,111,"Drama, Horror, Thriller",23,B.R. Ishara,Shatrughan Sinha,Reena Roy,Danny Denzongpa,,,,,,,,,,6
Milenge Milenge,2010,109,"Drama, Romance",1739,Satish Kaushik,Kareena Kapoor,Shahid Kapoor,Aarti Chhabria,,,,,,,,,,4.1
Milestone,2020,98,Drama,411,Ivan Ayr,Mohinder Gujral,Pavitra Mattoo,Lakshvir Saran,,,,,,,,,,6.6
Miley - Naa Miley - Hum,2011,114,"Comedy, Drama, Romance",225,Tanveer Khan,Chirag Paswan,Kangana Ranaut,Neeru Bajwa,,,,,,,,,,2.5
Mili,1975,150,"Drama, Romance, Family",1272,Hrishikesh Mukherjee,Jaya Bachchan,Amitabh Bachchan,Usha Kiran,,,,,,,,,,7.5
Milta Hai Chance by Chance,2011,87,Comedy,9,Ramesh Modi,Muntazir Ahmad,Diveyaa Dwivedi,Divyaa Dwivedi,,,,,,,,,,6.2
Mind,1999,160,"Drama, Romance",5078,Indra Kumar,Aamir Khan,Manisha Koirala,Sharmila Tagore,,,,,,,,,,6.2
Mirch,2010,105,"Comedy, Drama, Fantasy",855,Vinay Shukla,Arunoday Singh,Raima Sen,Konkona Sen Sharma,,,,,,,,,,6.5
Mirch Masala,1986,128,"Drama, Thriller",1248,Ketan Mehta,Smita Patil,Naseeruddin Shah,Om Puri,,,,,,,,,,7.7
Mirchi: It's Hot,2004,107,Crime,22,Dinesh D. Awasthi,Bobby Khan,Nilofer Khan,Sambhavna Sheth,,,,,,,,,,3.9
Mirror Game,2017,113,"Crime, Mystery, Thriller",222,Vijit Sharma,Parvin Dabas,Dhruv Bali,Pooja Batra,,,,,,,,,,6.1
Mirza Ghalib,1954,145,"Biography, Drama, Musical",103,Sohrab Modi,Bharat Bhushan,Suraiya,Nigar Sultana,,,,,,,,,,7
Mirza Juuliet,2017,130,Drama,101,Rajesh Ram Singh,Darshan Kumaar,Piaa Bajpai,Priyanshu Chatterjee,,,,,,,,,,4.1
Mirza Sahiban,1957,119,Romance,27,Ravi Kapoor,Shyama,Shammi Kapoor,Ram Singh,,,,,,,,,,7.3
Mirza's Lady,2016,129,"Action, Drama, Fantasy",1739,Rakeysh Omprakash Mehra,Harshvardhan Kapoor,Saiyami Kher,Art Malik,,,,,,,,,,4.6
Mischief,1949,120,"Drama, Family",12,Abdul Rashid Kardar,Suraiya,Shyam,Sharda,,,,,,,,,,7.1
Miss 420,1998,135,"Action, Romance, Thriller",34,Akashdeep,Baba Sehgal,Sheeba,Shakti Kapoor,,,,,,,,,,4.3
Miss Frontier Mail,1936,161,Drama,17,Homi Wadia,Fearless Nadia,Sardar Mansur,Sayani Atish,,,,,,,,,,6.1
Miss India,1957,148,Drama,17,I.S. Johar,Nargis,Pradeep Kumar,Pran,,,,,,,,,,7.5
Miss Lovely,2012,113,"Crime, Drama, Romance",3068,Ashim Ahluwalia,Nawazuddin Siddiqui,Niharika Singh,Anil George,,,,,,,,,,6.4
Miss Manorama,1935,90,Drama,9,Faredoon A. Irani,Aghajani,Jehanara Kajjan,Agha Jani Kashmiri,,,,,,,,,,6.3
Miss Pamela,1989,102,Drama,6,Kottayam Chellappan,Kollam Ajith,Lalu Alex,Suresh Gopi,,,,,,,,,,4.5
Miss Tanakpur Haazir Ho,2015,154,"Comedy, Crime, Family",323,Kapri Vinod,Anup Das,Rahul Bagga,Hrishitaa Bhatt,,,,,,,,,,5.4
Miss Teacher,2016,133,Romance,235,Jayprakkash Shaw,Kamalika Chanda,Rahul Sharma,Resham Thakkar,,,,,,,,,,3.2
Missed Call,2005,105,"Comedy, Drama",14,Mridul Mahendra,Vinay Subramanian,Ankur Vikal,Salim Ghouse,,,,,,,,,,7.6
Missing,2018,120,"Drama, Mystery, Thriller",2074,Mukul Abhyankar,Manoj Bajpayee,Tabu,Annu Kapoor,,,,,,,,,,5.8
Missing on A Weekend,2016,113,Thriller,74,Abhishek Jawkar,Dishank Arora,Akash Bathija,Dibyendu Bhattacharya,,,,,,,,,,4.3
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,130,"Action, Adventure, Drama",1099,Apoorva Lakhia,Vivek Oberoi,Zayed Khan,Shriya Saran,,,,,,,,,,3.4
Mission Kashmir,2000,154,"Action, Drama, Thriller",6531,Vidhu Vinod Chopra,Sanjay Dutt,Hrithik Roshan,Preity Zinta,,,,,,,,,,6.7
Mission Mangal,2019,130,"Drama, History",12611,Jagan Shakti,Akshay Kumar,Vidya Balan,Taapsee Pannu,,,,,,,,,,6.5
Mission Mumbai,2004,117,Action,25,Rajiv S. Ruia,Sonu Sood,Nawab Shah,Ashutosh Rana,,,,,,,,,,3.8
Mithya,2008,110,"Comedy, Crime, Thriller",1934,Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Naseeruddin Shah,,,,,,,,,,7.1
Mitr: My Friend,2002,104,Drama,245,Revathi,Shobana,Nassar Abdulla,Preeti Vissa,,,,,,,,,,6.8
Mitron,2018,119,Comedy,2334,Nitin Kakkar,Jackky Bhagnani,Kritika Kamra,Prateik,,,,,,,,,,6.9
Mitti,2001,155,"Action, Drama",27,Iqbal Durrani,Ferdous Ahmed,Sharbani Mukherji,Rani Rajkumar,,,,,,,,,,5.3
Mitti Aur Sona,1989,163,"Action, Drama",35,Shiv Kumar,Chunky Panday,Neelam Kothari,Sonam,,,,,,,,,,4.7
Mixed Doubles,2006,91,"Comedy, Drama",647,Rajat Kapoor,Konkona Sen Sharma,Ranvir Shorey,Koel Purie,,,,,,,,,,6.4
Mmirsa,2016,143,Drama,13,Hemnt Praddeep,Kabir Bedi,Souryansh Bharadwaj,Saanvi Dhiman,,,,,,,,,,8
Mod,2011,100,"Drama, Romance, Thriller",399,Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav,,,,,,,,,,6.5
Moh Maya Money,2016,108,"Crime, Drama, Thriller",415,Munish Bhardwaj,Neha Dhupia,Ranvir Shorey,Devendra Chowhan,,,,,,,,,,5.6
Mohabbat,1985,134,Romance,104,Bapu,Anil Kapoor,Vijayata Pandit,Aruna Irani,,,,,,,,,,5.5
Mohabbat,1997,180,"Drama, Romance",474,Reema Rakesh Nath,Madhuri Dixit,Sanjay Kapoor,Akshaye Khanna,,,,,,,,,,5.3
Mohabbat Aur Jung,1998,126,Action,13,Hameed Alam,Aparajita,Mohnish Bahl,Rakesh Bedi,,,,,,,,,,4.5
Mohabbat Isko Kahete Hain,1965,102,"Drama, Romance",23,Akhtar Mirza,Nanda,Shashi Kapoor,Ramesh Deo,,,,,,,,,,6.7
Mohabbat Ki Aag,1997,127,"Drama, Romance",13,K.R. Reddy,Poonam Dhillon,Govinda,Shakti Kapoor,,,,,,,,,,3.5
Mohabbat Ki Arzoo,1994,146,"Action, Drama, Romance",45,K.C. Bokadia,Rishi Kapoor,Zeba Bakhtiar,Ashwini Bhave,,,,,,,,,,5.3
Mohabbatein,2000,216,"Musical, Drama, Romance",27990,Aditya Chopra,Amitabh Bachchan,Shah Rukh Khan,Uday Chopra,,,,,,,,,,7.1
Mohalla Assi,2015,150,"Comedy, Drama",1601,Chandra Prakash Dwivedi,Sunny Deol,Sakshi Tanwar,Ravi Kishan,,,,,,,,,,6.8
Mohan Joshi Hazir Ho!,1984,130,Drama,153,Saeed Akhtar Mirza,Bhisham Sahni,Dina Pathak,Mohan Gokhale,,,,,,,,,,7.1
Mohan Rakesh's Adhe Adhure,2014,100,Drama,32,Rohit Philip,Mohan Agashe,Lillete Dubey,Ira Dubey,,,,,,,,,,7.1
Mohandas,2009,112,Thriller,119,Mazhar Kamran,Uttam Halder,Sonali Kulkarni,Sharbani Mukherji,,,,,,,,,,6.8
Mohenjo Daro,2016,155,"Action, Adventure, Drama",10903,Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi,,,,,,,,,,5.7
Mohra,1994,177,"Action, Drama, Thriller",7623,Rajiv Rai,Akshay Kumar,Sunil Shetty,Raveena Tandon,,,,,,,,,,7
Mohre,1987,104,"Drama, Mystery",75,Raghuvir Kul,Nana Patekar,Madhuri Dixit,Sadashiv Amrapurkar,,,,,,,,,,5.3
Moksh To Maya,2019,113,Thriller,45,Manoj Singh,Bidita Bag,Meghna Malik,Ehsan Khan,,,,,,,,,,4.2
Moksha: Salvation,2001,150,"Crime, Drama, Thriller",390,Ashok Mehta,Arjun Rampal,Manisha Koirala,Kalpana Pandit,,,,,,,,,,6.2
Mokssh,2013,100,"Drama, Musical",13,Ajit P. Bhairavkar,Chinmay Mandlekar,Sukhada Yash,Sanjiv Chopra,,,,,,,,,,4.8
Mom,2017,146,"Crime, Drama, Thriller",9395,Ravi Udyawar,Sridevi,Sajal Ali,Akshaye Khanna,,,,,,,,,,7.3
Mome Ki Gudiya,1972,118,"Crime, Drama, Romance",11,Mohan Kumar,Ratan Chopra,Tanuja,Prem Nath,,,,,,,,,,5.9
